,gas_share_energy
0,1.336
1,1.426
2,1.395
3,1.339
4,1.522
5,1.741
6,1.931
7,2.448
8,3.624
9,3.885
10,4.417
11,4.624
12,4.903
13,6.738
14,9.454
15,11.046
16,12.033
17,12.192
18,13.019
19,12.098
20,12.473
21,13.732
22,13.733
23,14.221
24,14.715
25,15.287
26,15.419
27,15.932
28,15.563
29,15.756
30,16.175
31,16.558
32,15.889
33,16.467
34,16.127
35,17.424
36,19.174
37,20.002
38,20.244
39,20.749
40,21.346
41,21.866
42,22.479
43,22.037
44,21.805
45,22.051
46,23.663
47,24.601
48,24.408
49,24.42
50,26.273
51,26.465
52,27.278
53,28.423
54,27.905
55,29.18
56,30.017
57,28.88
232,1.757
233,1.867
234,2.074
235,2.263
236,2.457
237,2.581
238,2.681
239,2.805
240,3.165
241,3.661
242,4.05
243,4.262
244,4.845
245,5.359
246,6.182
247,6.43
248,6.505
249,6.795
250,6.935
251,7.9
252,10.771
253,11.63
254,11.725
255,11.768
256,12.184
257,12.188
258,12.417
259,12.651
260,12.086
261,12.42
262,12.638
263,12.955
264,13.235
265,13.798
266,14.426
267,14.642
268,15.071
269,15.187
270,15.078
271,14.782
272,14.794
273,14.837
274,15.086
275,15.614
276,15.721
277,16.221
278,16.556
279,16.822
280,16.829
281,17.071
282,17.33
283,17.482
284,17.663
285,17.914
286,17.824
287,18.316
288,18.434
289,17.687
1319,8.296
1320,8.915
1321,9.664
1322,10.394
1323,11.092
1324,12.065
1325,13.337
1326,14.204
1327,14.93
1328,16.125
1329,17.266
1330,18.013
1331,18.597
1332,18.861
1333,19.312
1334,19.773
1335,20.498
1336,21.331
1337,22.289
1338,23.233
1339,22.971
1340,22.991
1341,23.639
1342,24.099
1343,24.624
1344,25.797
1345,26.617
1346,26.477
1347,27.424
1348,27.276
1349,27.656
1350,29.16
1351,28.294
1352,28.838
1353,29.46
1354,29.794
1355,29.855
1356,30.223
1357,30.688
1358,31.119
1359,31.548
1360,31.518
1361,31.674
1362,31.819
1363,31.371
1364,32.515
1365,31.71
1366,31.034
1367,30.866
1368,29.805
1369,29.709
1370,30.707
1371,31.317
1372,31.511
1373,32.036
1374,32.787
1375,33.455
1376,30.622
3036,27.285
3037,27.853
3038,28.316
3039,28.654
3040,29.41
3041,29.865
3042,30.162
3043,29.121
3044,27.742
3045,27.349
3046,25.988
3047,25.115
3048,24.074
3049,23.74
3050,24.245
3051,24.538
3052,24.563
3053,24.163
3054,22.923
3055,23.275
3056,22.606
3057,21.041
3058,21.498
3059,21.665
3060,22.43
3061,22.397
3062,22.872
3063,23.299
3064,23.486
3065,23.592
3066,24.089
3067,23.771
3068,23.764
3069,23.311
3070,23.146
3071,23.543
3072,23.071
3073,23.555
3074,23.143
3075,22.813
3076,22.557
3077,22.661
3078,23.607
3079,24.25
3080,25.129
3081,25.512
3082,26.236
3083,27.776
3084,28.03
3085,28.442
3086,29.351
3087,29.39
3088,29.204
3089,31.111
3090,32.341
3091,34.162
3092,32.876
3093,33.348
3282,0.006
3283,0.007
3284,0.007
3285,0.051
3286,0.668
3287,2.665
3288,3.767
3289,5.201
3290,6.18
3291,6.802
3292,7.189
3293,8.797
3294,10.126
3295,10.398
3296,10.858
3297,12.198
3298,13.161
3299,13.791
3300,15.345
3301,15.15
3302,16.322
3303,17.709
3304,17.408
3305,17.313
3306,17.817
3307,17.401
3308,17.208
3309,17.647
3310,17.646
3311,18.158
3312,17.386
3313,17.474
3314,17.147
3315,16.749
3316,16.937
3317,17.221
3318,18.387
3319,18.22
3320,17.28
3321,16.793
3322,16.482
3323,17.494
3324,19.149
3325,18.412
3326,19.062
3327,20.69
3328,20.674
3329,21.28
3330,22.119
3331,23.552
3332,23.626
3333,22.963
3334,22.707
3335,22.131
3336,25.13
3337,25.762
3338,23.95
3339,23.888
4007,12.748
4008,12.67
4009,13.145
4010,12.935
4011,12.769
4012,12.112
4013,11.635
4014,11.506
4015,12.061
4016,11.986
4017,11.782
4018,12.871
4019,12.978
4020,12.54
4021,12.534
4022,12.75
4023,13.12
4024,14.026
4025,14.372
4026,14.972
4027,14.634
4028,14.925
4029,14.341
4030,14.981
4031,15.297
4032,15.716
4033,15.49
4034,15.43
4035,15.888
4036,15.573
4037,16.337
4038,17.325
4039,16.643
4040,17.35
4041,16.913
4042,17.433
4043,18.325
4044,18.175
4045,18.612
4046,19.811
4047,19.793
4048,20.191
4049,19.654
4050,19.256
4051,18.569
4052,19.092
4053,19.103
4054,19.784
4055,20.0
4056,20.484
4057,21.478
4058,21.593
4059,21.49
4060,20.734
4061,19.973
4062,19.594
4063,20.791
4064,19.168
